title,year,rating,no_of_reviews,genres,runtime,gross
Black Hawk Down,2001.0,7.7,"405,402","Action, Drama, History",144 min,$108.64M
Kingsman: The Secret Service,2014.0,7.7,"683,156","Action, Adventure, Comedy",129 min,$128.26M
Training Day,2001.0,7.7,"448,448","Action, Crime, Drama",122 min,$76.63M
The Lego Movie,2014.0,7.7,"366,819","Animation, Action, Adventure",100 min,$257.76M
The Bourne Supremacy,2004.0,7.7,"472,322","Action, Mystery, Thriller",108 min,$176.24M
3:10 to Yuma,2007.0,7.7,"319,326","Action, Crime, Drama",122 min,$53.61M
First Blood,1982.0,7.7,"261,297","Action, Adventure, Thriller",93 min,$47.21M
X-Men: First Class,2011.0,7.7,"703,056","Action, Sci-Fi",131 min,$146.41M
The Boondock Saints,1999.0,7.7,"242,952","Action, Thriller",108 min,$0.03M
Dirty Harry,1971.0,7.7,"161,121","Action, Crime, Thriller",102 min,$35.90M
Star Trek II: The Wrath of Khan,1982.0,7.7,"124,796","Action, Adventure, Sci-Fi",113 min,$78.91M
Star Trek Into Darkness,2013.0,7.7,"488,584","Action, Adventure, Sci-Fi",132 min,$228.78M
Goldfinger,1964.0,7.7,"195,026","Action, Adventure, Thriller",110 min,$51.08M
The French Connection,1971.0,7.7,"127,128","Action, Crime, Drama",104 min,$15.63M
Kubo and the Two Strings,2016.0,7.7,"133,110","Animation, Action, Adventure",101 min,$48.02M
Run Lola Run,1998.0,7.7,"202,027","Action, Crime, Thriller",80 min,$7.27M
The Longest Day,1962.0,7.7,"57,268","Action, Drama, History",178 min,$39.10M
The Dirty Dozen,1967.0,7.7,"75,841","Action, Adventure, War",150 min,$45.30M
Captain Blood,1935.0,7.7,"15,036","Action, Adventure, History",119 min,$2.96M
The Notebook,2004.0,7.8,"586,041","Drama, Romance",123 min,$81.00M
Pride & Prejudice,2005.0,7.8,"306,688","Drama, Romance",129 min,$38.41M
Call Me by Your Name,2017.0,7.8,"286,447","Drama, Romance",132 min,$18.10M
Atonement,2007.0,7.8,"286,376","Drama, Mystery, Romance",123 min,$50.93M
About Time,2013.0,7.8,"362,831","Comedy, Drama, Fantasy",123 min,$15.32M
The Curious Case of Benjamin Button,2008.0,7.8,"665,554","Drama, Fantasy, Romance",166 min,$127.51M
Cast Away,2000.0,7.8,"607,013","Adventure, Drama, Romance",143 min,$233.63M
Moonrise Kingdom,2012.0,7.8,"356,031","Comedy, Drama, Family",94 min,$45.51M
The Best Offer,2013.0,7.8,"122,870","Crime, Drama, Mystery",131 min,$0.09M
Walk the Line,2005.0,7.8,"256,693","Biography, Drama, Music",136 min,$119.52M
My Fair Lady,1964.0,7.8,"98,188","Drama, Family, Musical",170 min,$72.00M
Cabaret,1972.0,7.8,"56,944","Drama, Music, Musical",124 min,$42.77M
The Remains of the Day,1993.0,7.8,"78,056","Drama, Romance",134 min,$22.95M
Once,2007.0,7.8,"118,570","Drama, Music, Romance",86 min,$9.44M
You Can't Take It with You,1938.0,7.8,"26,724","Comedy, Drama, Romance",126 min,$4.66M
The Limit,1972.0,7.7,34,"Action, Crime, Drama",90 min,$0.03M
His Girl Friday,1940.0,7.8,"60,620","Comedy, Drama, Romance",92 min,$0.30M
Millennium Actress,2001.0,7.8,"29,585","Animation, Drama, Fantasy",87 min,$0.19M
The Umbrellas of Cherbourg,1964.0,7.8,"28,997","Drama, Musical, Romance",91 min,$0.03M
Ninotchka,1939.0,7.8,"21,793","Comedy, Romance",110 min,$1.19M
Torch Song Trilogy,1988.0,7.8,"7,524","Comedy, Drama, Romance",120 min,$4.87M
Gloomy Sunday,1999.0,7.8,"8,134","Romance, Drama",112 min,$0.22M
Our Hospitality,1923.0,7.8,"11,766","Comedy, Romance, Thriller",65 min,$1.17M
He Who Gets Slapped,1924.0,7.8,"4,031","Drama, Romance, Thriller",95 min,$0.19M
Seven Chances,1925.0,7.8,"10,920","Comedy, Romance",56 min,$0.21M
Guardians of the Galaxy Vol. 2,2017.0,7.6,"700,589","Action, Adventure, Comedy",136 min,$389.81M
Deadpool 2,2018.0,7.6,"601,483","Action, Adventure, Comedy",119 min,$324.59M
The Fifth Element,1997.0,7.6,"484,362","Action, Adventure, Sci-Fi",126 min,$63.54M
Creed,2015.0,7.6,"295,189","Action, Drama, Sport",133 min,$109.77M
Sicario,2015.0,7.6,"444,012","Action, Crime, Drama",121 min,$46.89M
Baby Driver,2017.0,7.6,"562,774","Action, Crime, Drama",113 min,$107.83M
300,2006.0,7.6,"834,285","Action, Drama",117 min,$210.61M
Star Wars: Episode III - Revenge of the Sith,2005.0,7.6,"808,346","Action, Adventure, Fantasy",140 min,$380.26M
Watchmen,2009.0,7.6,"561,510","Action, Drama, Mystery",162 min,$107.51M
Kick-Ass,2010.0,7.6,"573,713","Action, Comedy, Crime",117 min,$48.07M
Train to Busan,2016.0,7.6,"232,747","Action, Horror, Thriller",118 min,$2.13M
Zombieland,2009.0,7.6,"593,035","Action, Comedy, Horror",88 min,$75.59M
Kung Fu Panda,2008.0,7.6,"486,304","Animation, Action, Adventure",92 min,$215.43M
Lethal Weapon,1987.0,7.6,"265,540","Action, Crime, Thriller",109 min,$65.21M
Sherlock Holmes,2009.0,7.6,"646,512","Action, Adventure, Mystery",128 min,$209.03M
Harry Potter and the Half-Blood Prince,2009.0,7.6,"561,783","Action, Adventure, Family",153 min,$301.96M
Rise of the Planet of the Apes,2011.0,7.6,"538,785","Action, Drama, Sci-Fi",105 min,$176.76M
Dawn of the Planet of the Apes,2014.0,7.6,"450,361","Action, Adventure, Drama",130 min,$208.55M
Minority Report,2002.0,7.6,"563,667","Action, Crime, Mystery",145 min,$132.07M
Incredibles 2,2018.0,7.6,"307,603","Animation, Action, Adventure",118 min,$608.58M
Star Trek: First Contact,1996.0,7.6,"128,374","Action, Adventure, Drama",111 min,$92.00M
The Road Warrior,1981.0,7.6,"185,520","Action, Adventure, Sci-Fi",96 min,$12.47M
The Raid: Redemption,2011.0,7.6,"209,399","Action, Crime, Thriller",101 min,$4.11M
End of Watch,2012.0,7.6,"255,812","Action, Adventure, Crime",109 min,$41.00M
Enter the Dragon,1973.0,7.6,"107,332","Action, Crime, Drama",102 min,$25.00M
Hotel Mumbai,2018.0,7.6,"66,692","Action, Drama, History",123 min,$9.65M
Die Hard with a Vengeance,1995.0,7.6,"395,083","Action, Adventure, Thriller",128 min,$100.01M
Escape from Alcatraz,1979.0,7.6,"141,345","Action, Biography, Crime",112 min,$43.00M
The Taking of Pelham One Two Three,1974.0,7.6,"32,738","Action, Crime, Thriller",104 min,$2.49M
United 93,2006.0,7.6,"108,229","Action, Drama, History",111 min,$31.57M
Vampire Hunter D: Bloodlust,2000.0,7.6,"33,334","Animation, Action, Drama",103 min,$0.15M
Fearless,2006.0,7.6,"77,257","Action, Biography, Drama",104 min,$24.63M
Wings,1927.0,7.6,"13,617","Drama, Romance, War",144 min,$6.59M
My Way,2011.0,7.6,"12,097","Action, Drama, War",137 min,$0.07M
Bilal: A New Breed of Hero,2015.0,7.6,"18,877","Animation, Action, Adventure",105 min,$0.49M
The Navigator,1924.0,7.6,"10,395","Action, Comedy, Romance",59 min,$1.48M
To Die Is Hard,2010.0,7.6,105,"Action, Comedy",87 min,$0.00M
Blue Is the Warmest Colour,2013.0,7.7,"156,697","Drama, Romance",180 min,$2.20M
Tangled,2010.0,7.7,"466,903","Animation, Adventure, Comedy",100 min,$200.82M
Brokeback Mountain,2005.0,7.7,"366,424","Drama, Romance",134 min,$83.04M
Silver Linings Playbook,2012.0,7.7,"719,965","Comedy, Drama, Romance",122 min,$132.09M
500 Days of Summer,2009.0,7.7,"528,680","Comedy, Drama, Romance",95 min,$32.39M
Mr. Nobody,2009.0,7.7,"238,357","Drama, Fantasy, Romance",141 min,$0.00M
As Good as It Gets,1997.0,7.7,"306,425","Comedy, Drama, Romance",139 min,$148.48M
Midnight in Paris,2011.0,7.7,"433,531","Comedy, Fantasy, Romance",94 min,$56.82M
The Fault in Our Stars,2014.0,7.7,"385,883","Drama, Romance",126 min,$124.87M
Sense and Sensibility,1995.0,7.7,"119,720","Drama, Romance",136 min,$43.18M
When Harry Met Sally...,1989.0,7.7,"227,728","Comedy, Drama, Romance",95 min,$92.82M
The Theory of Everything,2014.0,7.7,"462,325","Biography, Drama, Romance",123 min,$35.89M
Flipped,2010.0,7.7,"93,187","Comedy, Drama, Romance",90 min,$1.75M
The Music Man,1962.0,7.7,"18,289","Comedy, Family, Musical",151 min,$14.95M
Me and Earl and the Dying Girl,2015.0,7.7,"134,379","Comedy, Drama, Romance",105 min,$6.74M
The Quiet Man,1952.0,7.7,"40,312","Comedy, Drama, Romance",129 min,$10.55M
Joyeux Noel,2005.0,7.7,"30,731","Drama, History, Music",116 min,$1.05M
Maurice,1987.0,7.7,"21,284","Drama, Romance",140 min,$3.13M
The African Queen,1951.0,7.7,"80,949","Adventure, Drama, Romance",105 min,$0.54M
Good Bye Lenin!,2003.0,7.7,"148,929","Comedy, Drama, Romance",121 min,$4.06M
"What's Up, Doc?",1972.0,7.7,"25,031","Comedy, Romance",94 min,$10.47M
Splendor in the Grass,1961.0,7.7,"21,713","Drama, Romance",124 min,$8.72M
The Broken Circle Breakdown,2012.0,7.7,"41,948","Drama, Music, Romance",111 min,$0.18M
Sergeant York,1941.0,7.7,"19,022","Biography, Drama, History",134 min,$16.40M
Scott Pilgrim vs. the World,2010.0,7.5,"439,871","Action, Comedy, Fantasy",112 min,$31.49M
The Hunger Games: Catching Fire,2013.0,7.5,"681,050","Action, Adventure, Sci-Fi",146 min,$424.67M
Fury,2014.0,7.5,"509,345","Action, Drama, War",134 min,$85.82M
Indiana Jones and the Temple of Doom,1984.0,7.5,"501,698","Action, Adventure",118 min,$179.87M
Harry Potter and the Order of the Phoenix,2007.0,7.5,"598,709","Action, Adventure, Family",138 min,$292.00M
Upgrade,2018.0,7.5,"192,079","Action, Sci-Fi, Thriller",100 min,$11.98M
The Crow,1994.0,7.5,"189,705","Action, Crime, Drama",102 min,$50.69M
Lone Survivor,2013.0,7.5,"294,382","Action, Biography, Drama",121 min,$125.10M
Doctor Strange,2016.0,7.5,"761,687","Action, Adventure, Fantasy",115 min,$232.64M
The Hunt for Red October,1990.0,7.5,"206,188","Action, Adventure, Thriller",135 min,$122.01M
The Purple Rose of Cairo,1985.0,7.7,"52,932","Comedy, Fantasy, Romance",82 min,$10.63M
Top Hat,1935.0,7.7,"19,892","Comedy, Musical, Romance",101 min,$3.88M
The Young Girls of Rochefort,1967.0,7.7,"10,968","Comedy, Drama, Musical",125 min,$0.09M
Pygmalion,1938.0,7.7,"9,147","Comedy, Drama, Romance",89 min,$3.05M
Dear Frankie,2004.0,7.7,"22,129","Drama, Romance",105 min,$1.34M
Pépé le Moko,1937.0,7.7,"7,774","Crime, Drama, Romance",94 min,$0.15M
Girl Shy,1924.0,7.7,"3,520","Comedy, Romance",87 min,$0.63M
Smiling Fish & Goat on Fire,1999.0,7.7,"2,728","Comedy, Romance",90 min,$0.28M
Veer!,2012.0,7.7,80,"Comedy, Drama, Romance",87 min,$0.00M
Collateral,2004.0,7.5,"414,655","Action, Crime, Drama",120 min,$101.01M
Munich,2005.0,7.5,"231,623","Action, Drama, History",164 min,$47.40M
Source Code,2011.0,7.5,"529,754","Action, Drama, Mystery",93 min,$54.71M
Enemy at the Gates,2001.0,7.5,"268,182","Action, Drama, War",131 min,$51.40M
Grindhouse,2007.0,7.5,"187,194","Action, Horror, Thriller",191 min,$25.04M
It's a Mad Mad Mad Mad World,1963.0,7.5,"43,546","Action, Adventure, Comedy",210 min,$46.30M
Midnight Run,1988.0,7.5,"89,068","Action, Comedy, Crime",126 min,$38.41M
The Guns of Navarone,1961.0,7.5,"53,010","Action, Adventure, Drama",158 min,$28.90M
Headhunters,2011.0,7.5,"104,165","Action, Crime, Thriller",100 min,$1.20M
Ip Man 2,2010.0,7.5,"107,748","Action, Biography, Drama",108 min,$0.21M
Tora! Tora! Tora!,1970.0,7.5,"35,527","Action, Drama, History",144 min,$29.55M
One Piece: Stampede,2019.0,7.5,"6,746","Animation, Action, Adventure",101 min,$1.30M
Delhi Belly,2011.0,7.5,"30,874","Action, Comedy, Crime",103 min,$1.53M
Mesrine: Killer Instinct,2008.0,7.5,"34,474","Action, Biography, Crime",113 min,$0.55M
Trey,2013.0,7.5,21,"Action, Horror, Thriller",91 min,$0.03M
The Birds,1963.0,7.6,"195,163","Drama, Horror, Mystery",119 min,$11.40M
Love Actually,2003.0,7.6,"502,587","Comedy, Drama, Romance",135 min,$59.70M
Moulin Rouge!,2001.0,7.6,"290,662","Drama, Musical, Romance",127 min,$57.39M
The Reader,2008.0,7.6,"251,065","Drama, Romance",124 min,$34.19M
Rushmore,1998.0,7.6,"189,907","Comedy, Drama, Romance",93 min,$17.11M
Match Point,2005.0,7.6,"221,997","Drama, Romance, Thriller",124 min,$23.09M
Snow White and the Seven Dwarfs,1937.0,7.6,"205,166","Animation, Adventure, Family",83 min,$184.93M
50/50,2011.0,7.6,"335,453","Comedy, Drama, Romance",100 min,$35.01M
The Bridges of Madison County,1995.0,7.6,"84,583","Drama, Romance",135 min,$71.52M
God's Own Country,2017.0,7.6,"32,786","Drama, Romance",104 min,$0.34M
From Here to Eternity,1953.0,7.6,"48,678","Drama, Romance, War",118 min,$30.50M
Three Colors: White,1994.0,7.6,"76,100","Comedy, Drama, Romance",92 min,$1.46M
Weekend,2011.0,7.6,"31,264","Drama, Romance",97 min,$0.46M
Victor/Victoria,1982.0,7.6,"22,471","Comedy, Music, Romance",134 min,$21.93M
Shine,1996.0,7.6,"55,200","Biography, Drama, Music",105 min,$35.81M
La Vie En Rose,2007.0,7.6,"88,692","Biography, Drama, Music",140 min,$10.30M
Maudie,2016.0,7.6,"19,597","Biography, Drama, Romance",115 min,$6.17M
Beautiful Thing,1996.0,7.6,"24,882","Comedy, Drama, Romance",90 min,$1.50M
John Wick,2014.0,7.4,"685,098","Action, Crime, Thriller",101 min,$43.04M
