title,year,rating,no_of_reviews,genres,runtime,gross
The Dark Knight,2008.0,9.0,"2,706,558","Action, Crime, Drama",152 min,$534.86M
The Lord of the Rings: The Return of the King,2003.0,9.0,"1,880,283","Action, Adventure, Drama",201 min,$377.85M
Inception,2010.0,8.8,"2,402,450","Action, Adventure, Sci-Fi",148 min,$292.58M
The Lord of the Rings: The Fellowship of the Ring,2001.0,8.8,"1,909,192","Action, Adventure, Drama",178 min,$315.54M
The Lord of the Rings: The Two Towers,2002.0,8.8,"1,697,418","Action, Adventure, Drama",179 min,$342.55M
Forrest Gump,1994.0,8.8,"2,127,007","Drama, Romance",142 min,$330.25M
The Matrix,1999.0,8.7,"1,950,090","Action, Sci-Fi",136 min,$171.48M
Star Wars: Episode V - The Empire Strikes Back,1980.0,8.7,"1,315,850","Action, Adventure, Fantasy",124 min,$290.48M
Star Wars: Episode IV - A New Hope,1977.0,8.6,"1,388,283","Action, Adventure, Fantasy",121 min,$322.74M
Terminator 2: Judgment Day,1991.0,8.6,"1,119,082","Action, Sci-Fi",137 min,$204.84M
Life Is Beautiful,1997.0,8.6,"708,654","Comedy, Drama, Romance",116 min,$57.60M
Léon: The Professional,1994.0,8.5,"1,184,302","Action, Crime, Drama",110 min,$19.50M
Avengers: Endgame,2019.0,8.4,"1,171,046","Action, Adventure, Drama",181 min,$858.37M
Spider-Man: Into the Spider-Verse,2018.0,8.4,"557,306","Animation, Action, Adventure",117 min,$190.24M
Raiders of the Lost Ark,1981.0,8.4,"982,942","Action, Adventure",115 min,$248.16M
Casablanca,1942.0,8.5,"581,639","Drama, Romance, War",102 min,$1.02M
Modern Times,1936.0,8.5,"247,417","Comedy, Drama, Romance",87 min,$0.16M
City Lights,1931.0,8.5,"187,982","Comedy, Drama, Romance",87 min,$0.02M
The Best of Youth,2003.0,8.5,"22,527","Drama, Romance",366 min,$0.27M
Aliens,1986.0,8.4,"730,157","Action, Adventure, Sci-Fi",137 min,$85.16M
Avengers: Infinity War,2018.0,8.4,"1,115,181","Action, Adventure, Sci-Fi",149 min,$678.82M
The Dark Knight Rises,2012.0,8.4,"1,735,137","Action, Drama, Thriller",164 min,$448.14M
Top Gun: Maverick,2022.0,8.3,"576,511","Action, Drama",130 min,$718.73M
Star Wars: Episode VI - Return of the Jedi,1983.0,8.3,"1,073,015","Action, Adventure, Fantasy",131 min,$309.13M
North by Northwest,1959.0,8.3,"333,630","Action, Adventure, Mystery",136 min,$13.28M
Dangal,2016.0,8.3,"196,441","Action, Biography, Drama",161 min,$12.39M
Spider-Man: No Way Home,2021.0,8.2,"788,971","Action, Adventure, Fantasy",148 min,$804.75M
Jurassic Park,1993.0,8.2,"1,010,013","Action, Adventure, Sci-Fi",127 min,$402.45M
1917,2019.0,8.2,"616,285","Action, Drama, War",119 min,$159.23M
Indiana Jones and the Last Crusade,1989.0,8.2,"768,571","Action, Adventure",127 min,$197.17M
Kill Bill: Vol. 1,2003.0,8.2,"1,136,692","Action, Crime, Drama",111 min,$70.10M
Batman Begins,2005.0,8.2,"1,497,482","Action, Crime, Drama",140 min,$206.85M
Die Hard,1988.0,8.2,"898,870","Action, Thriller",132 min,$83.01M
V for Vendetta,2005.0,8.2,"1,137,874","Action, Drama, Sci-Fi",132 min,$70.51M
Sherlock Jr.,1924.0,8.2,"52,064","Action, Comedy, Romance",45 min,$0.98M
Good Will Hunting,1997.0,8.3,"998,603","Drama, Romance",126 min,$138.43M
Eternal Sunshine of the Spotless Mind,2004.0,8.3,"1,027,704","Drama, Romance, Sci-Fi",108 min,$34.40M
Amélie,2001.0,8.3,"767,790","Comedy, Romance",122 min,$33.23M
Singin' in the Rain,1952.0,8.3,"248,028","Comedy, Musical, Romance",103 min,$8.82M
Far Too Far,2015.0,8.2,101,"Action, Crime, Drama",117 min,$0.02M
Equal Strength,2011.0,8.2,31,"Action, Drama",103 min,$0.00M
Gone with the Wind,1939.0,8.2,"321,551","Drama, Romance, War",238 min,$198.68M
Zindagi Na Milegi Dobara,2011.0,8.2,"81,018","Comedy, Drama, Musical",155 min,$3.11M
Ford v Ferrari,2019.0,8.1,"414,146","Action, Biography, Drama",152 min,$117.62M
Mad Max: Fury Road,2015.0,8.1,"1,025,596","Action, Adventure, Sci-Fi",120 min,$154.06M
Pirates of the Caribbean: The Curse of the Black Pearl,2003.0,8.1,"1,149,279","Action, Adventure, Fantasy",143 min,$305.41M
Blade Runner,1982.0,8.1,"785,086","Action, Drama, Sci-Fi",117 min,$32.87M
Logan,2017.0,8.1,"783,439","Action, Drama, Sci-Fi",137 min,$226.28M
The Terminator,1984.0,8.1,"882,357","Action, Sci-Fi",107 min,$38.40M
How to Train Your Dragon,2010.0,8.1,"758,002","Animation, Action, Adventure",98 min,$217.58M
"Lock, Stock and Two Smoking Barrels",1998.0,8.1,"593,342","Action, Comedy, Crime",107 min,$3.90M
The Iron Giant,1999.0,8.1,"207,545","Animation, Action, Adventure",86 min,$23.16M
The General,1926.0,8.1,"93,571","Action, Adventure, Comedy",67 min,$1.03M
Safety Last!,1923.0,8.1,"21,574","Action, Comedy, Thriller",74 min,$1.36M
Before Sunrise,1995.0,8.1,"318,763","Drama, Romance",101 min,$5.54M
The Sound of Music,1965.0,8.1,"243,612","Biography, Drama, Family",172 min,$163.21M
Before Sunset,2004.0,8.1,"272,596","Drama, Romance",80 min,$5.82M
The Best Years of Our Lives,1946.0,8.1,"66,809","Drama, Romance, War",170 min,$23.65M
It Happened One Night,1934.0,8.1,"106,865","Comedy, Romance",105 min,$4.36M
Yi Yi: A One and a Two...,2000.0,8.1,"26,054","Drama, Romance",173 min,$1.14M
A Woman Under the Influence,1974.0,8.1,"26,609","Drama, Romance",155 min,$13.34M
The Red Shoes,1948.0,8.1,"36,661","Drama, Music, Romance",135 min,$10.90M
Sunrise,1927.0,8.1,"52,213","Drama, Romance",94 min,$0.54M
Guardians of the Galaxy,2014.0,8.0,"1,202,222","Action, Adventure, Comedy",121 min,$333.18M
Blade Runner 2049,2017.0,8.0,"599,002","Action, Drama, Mystery",164 min,$92.05M
Deadpool,2016.0,8.0,"1,062,606","Action, Comedy",108 min,$363.07M
Casino Royale,2006.0,8.0,"669,156","Action, Adventure, Thriller",144 min,$167.45M
The Incredibles,2004.0,8.0,"757,674","Animation, Action, Adventure",115 min,$261.44M
The Revenant,2015.0,8.0,"824,677","Action, Adventure, Drama",156 min,$183.64M
The Bourne Ultimatum,2007.0,8.0,"642,843","Action, Mystery, Thriller",115 min,$227.47M
Kill Bill: Vol. 2,2004.0,8.0,"771,510","Action, Crime, Thriller",137 min,$66.21M
Infernal Affairs,2002.0,8.0,"127,274","Action, Crime, Drama",101 min,$0.17M
Elite Squad,2007.0,8.0,"106,475","Action, Crime, Drama",115 min,$0.01M
Out the Gate,2011.0,8.0,72,"Action, Crime, Music",104 min,$0.00M
The Gold Rush,1925.0,8.1,"113,529","Adventure, Comedy, Drama",95 min,$5.45M
Charulata,1964.0,8.1,"6,776","Drama, Romance",117 min,$0.08M
Everything Everywhere All at Once,2022.0,7.9,"435,981","Action, Adventure, Comedy",139 min,$72.86M
Avatar,2009.0,7.9,"1,338,476","Action, Adventure, Fantasy",162 min,$760.51M
The Bourne Identity,2002.0,7.9,"557,264","Action, Mystery, Thriller",119 min,$121.66M
The Princess Bride,1987.0,8.0,"434,887","Adventure, Comedy, Family",98 min,$30.86M
Her,2013.0,8.0,"632,737","Drama, Romance, Sci-Fi",126 min,$25.57M
La La Land,2016.0,8.0,"612,024","Comedy, Drama, Music",128 min,$151.10M
Groundhog Day,1993.0,8.0,"648,204","Comedy, Drama, Fantasy",101 min,$70.91M
The Graduate,1967.0,8.0,"279,135","Comedy, Drama, Romance",106 min,$104.95M
Slumdog Millionaire,2008.0,8.0,"857,135","Crime, Drama, Romance",120 min,$141.32M
Chungking Express,1994.0,8.0,"87,115","Comedy, Crime, Drama",102 min,$0.60M
Cinderella Man,2005.0,8.0,"191,810","Biography, Drama, Romance",144 min,$61.65M
Annie Hall,1977.0,8.0,"269,814","Comedy, Romance",93 min,$39.20M
The Last Picture Show,1971.0,8.0,"49,798","Drama, Romance",118 min,$29.13M
Fiddler on the Roof,1971.0,8.0,"45,236","Drama, Family, Musical",181 min,$80.50M
Wings of Desire,1987.0,8.0,"73,192","Drama, Fantasy, Romance",128 min,$3.33M
The Legend of 1900,1998.0,8.0,"66,354","Drama, Music, Romance",169 min,$0.26M
Day for Night,1973.0,8.0,"23,782","Comedy, Drama, Romance",116 min,$0.02M
Limelight,1952.0,8.0,"21,181","Drama, Music, Romance",137 min,$1.00M
The Shop Around the Corner,1940.0,8.0,"35,337","Comedy, Drama, Romance",99 min,$0.20M
Edge of Tomorrow,2014.0,7.9,"696,528","Action, Adventure, Sci-Fi",113 min,$100.21M
Children of Men,2006.0,7.9,"510,192","Action, Drama, Sci-Fi",109 min,$35.55M
Star Trek,2009.0,7.9,"609,432","Action, Adventure, Sci-Fi",127 min,$257.73M
Thor: Ragnarok,2017.0,7.9,"771,644","Action, Adventure, Comedy",130 min,$315.06M
X-Men: Days of Future Past,2014.0,7.9,"723,232","Action, Adventure, Sci-Fi",132 min,$233.92M
District 9,2009.0,7.9,"693,123","Action, Sci-Fi, Thriller",112 min,$115.65M
The Blues Brothers,1980.0,7.9,"205,265","Action, Adventure, Comedy",133 min,$57.23M
The Wild Bunch,1969.0,7.9,"87,059","Action, Adventure, Drama",135 min,$12.06M
The Raid 2,2014.0,7.9,"126,638","Action, Crime, Thriller",150 min,$2.63M
Letters from Iwo Jima,2006.0,7.9,"165,869","Action, Adventure, Drama",141 min,$13.76M
A Taxi Driver,2017.0,7.9,"27,003","Action, Drama, History",137 min,$1.53M
The Adventures of Robin Hood,1938.0,7.9,"52,650","Action, Adventure, Romance",102 min,$3.98M
Trouble in Paradise,1932.0,8.0,"15,362","Comedy, Crime, Romance",83 min,$1.04M
Nothing But a Man,1964.0,8.0,"1,772","Drama, Romance",95 min,$0.02M
The Batman,2022.0,7.8,"694,251","Action, Crime, Drama",176 min,$369.35M
The Gentlemen,2019.0,7.8,"358,012","Action, Comedy, Crime",113 min,$36.47M
RRR,2022.0,7.8,"148,026","Action, Drama",187 min,$14.50M
Rogue One: A Star Wars Story,2016.0,7.8,"654,950","Action, Adventure, Sci-Fi",133 min,$532.18M
Star Wars: Episode VII - The Force Awakens,2015.0,7.8,"944,740","Action, Adventure, Sci-Fi",138 min,$936.66M
Apocalypto,2006.0,7.8,"319,246","Action, Adventure, Drama",139 min,$50.87M
Predator,1987.0,7.8,"432,999","Action, Adventure, Horror",107 min,$59.74M
Hot Fuzz,2007.0,7.8,"515,573","Action, Comedy, Mystery",121 min,$23.64M
Taken,2008.0,7.8,"613,093","Action, Crime, Thriller",90 min,$145.00M
Captain America: Civil War,2016.0,7.8,"807,445","Action, Sci-Fi",147 min,$408.08M
Skyfall,2012.0,7.8,"708,048","Action, Adventure, Thriller",143 min,$304.36M
Captain America: The Winter Soldier,2014.0,7.8,"862,760","Action, Adventure, Sci-Fi",136 min,$259.77M
The Fugitive,1993.0,7.8,"303,606","Action, Crime, Drama",130 min,$183.88M
Serenity,2005.0,7.8,"299,759","Action, Adventure, Sci-Fi",119 min,$25.51M
The Last Samurai,2003.0,7.8,"450,708","Action, Drama",154 min,$111.11M
Big Hero 6,2014.0,7.8,"474,287","Animation, Action, Adventure",102 min,$222.53M
How to Train Your Dragon 2,2014.0,7.8,"346,047","Animation, Action, Adventure",102 min,$177.00M
Captain Phillips,2013.0,7.8,"471,440","Action, Biography, Crime",134 min,$107.10M
Batman: Mask of the Phantasm,1993.0,7.8,"53,253","Animation, Action, Adventure",76 min,$5.62M
Cowboy Bebop: The Movie,2001.0,7.8,"50,468","Animation, Action, Crime",115 min,$1.00M
The Train,1964.0,7.8,"17,381","Action, Thriller, War",133 min,$7.41M
Knockin' on Heaven's Door,1997.0,7.8,"31,949","Action, Crime, Comedy",87 min,$0.00M
Ben-Hur: A Tale of the Christ,1925.0,7.8,"7,766","Action, Adventure, Drama",143 min,$12.45M
Shrek,2001.0,7.9,"696,849","Animation, Adventure, Comedy",90 min,$267.67M
True Romance,1993.0,7.9,"232,494","Crime, Drama, Romance",119 min,$12.28M
Edward Scissorhands,1990.0,7.9,"501,310","Drama, Fantasy, Romance",105 min,$56.36M
Marriage Story,2019.0,7.9,"322,839","Drama, Romance",137 min,$2.00M
Doctor Zhivago,1965.0,7.9,"79,123","Drama, Romance, War",197 min,$111.72M
Sing Street,2016.0,7.9,"96,979","Comedy, Drama, Music",106 min,$3.24M
Charade,1963.0,7.9,"80,773","Comedy, Mystery, Romance",113 min,$13.47M
The Artist,2011.0,7.9,"244,490","Comedy, Drama, Romance",100 min,$44.67M
Notorious,1946.0,7.9,"103,387","Drama, Film-Noir, Romance",102 min,$10.46M
Kal Ho Naa Ho,2003.0,7.9,"71,700","Comedy, Drama, Musical",186 min,$1.79M
My Name Is Khan,2010.0,7.9,"110,554","Adventure, Drama, Romance",165 min,$4.02M
Fallout Wasteland,2014.0,7.8,12,"Action, Sci-Fi, Western",70 min,$0.01M
Auntie Mame,1958.0,7.9,"11,944","Comedy, Drama, Romance",143 min,$23.30M
Hiroshima Mon Amour,1959.0,7.9,"33,796","Drama, Romance",90 min,$0.09M
Gully Boy,2019.0,7.9,"41,156","Drama, Music, Romance",154 min,$5.57M
Before the Rain,1994.0,7.9,"15,316","Drama, Romance, War",113 min,$0.76M
Random Harvest,1942.0,7.9,"7,995","Drama, Romance",126 min,$10.14M
Downtown Express,2011.0,7.9,32,"Drama, Music, Romance",90 min,$0.00M
Avatar: The Way of Water,2022.0,7.7,"368,278","Action, Adventure, Fantasy",192 min,$659.68M
Mission: Impossible - Fallout,2018.0,7.7,"343,187","Action, Adventure, Thriller",147 min,$220.16M
